text_left,text_right,tag,label
zz想睡却不能睡真是太爽了,上班呢吗？心疼,beiguan,1
zz想睡却不能睡真是太爽了,以床为家，无语,beiguan,0
一群很热爱八卦的孩纸,是吧。那就告诉我噻,zhongxing,1
一群很热爱八卦的孩纸,深刻理解，出城方向堵死完了，走路都比坐车快,zhongxing,0
万能的微勃，如何才能长高高,我感觉这段话有点毁人,beiguan,1
万能的微勃，如何才能长高高,感觉好辛酸,beiguan,0
什么情况,什么什么情况,zhongxing,1
什么情况,你在哪里嘛,zhongxing,0
俄想把自己反锁在卫生间，然后割下那久违的一刀,的确遇见不容易所以珍惜遇见你,zhongxing,1
俄想把自己反锁在卫生间，然后割下那久违的一刀,24天了，怎么办,zhongxing,0
困阿,metoo,zhongxing,1
困阿,真是说到我心坎里了,zhongxing,0
怎么开门是个问题,用钥匙开门,zhongxing,1
怎么开门是个问题,亲，注意身体啊,zhongxing,0
意志力不坚强，又改回来了,现在有空否,zhongxing,1
意志力不坚强，又改回来了,快回来吧等你呢,zhongxing,0
才来学校两天就感觉已经快透支了，靠,注意要有节制啊，亲，你应该去检查一下身体,zhongxing,1
才来学校两天就感觉已经快透支了，靠,又说情话了,zhongxing,0
有不祥的预感,其实你，了,beiguan,1
有不祥的预感,眼神不好使啦,beiguan,0
毁三观,肿么肿么了,beiguan,1
毁三观,说得好现在就是这个情况,beiguan,0
没有加班的情绪,那你是加班呢还是不加班？身不由己,zhongxing,1
没有加班的情绪,是准备拿来拖地么,zhongxing,0
真的地震了吗？我1点半离开深圳的,你是安全滴,zhongxing,1
真的地震了吗？我1点半离开深圳的,春天就要到了,zhongxing,0
胃死，求聊,屌丝永远都是屌丝,beiguan,1
胃死，求聊,完全没感觉呢,beiguan,0
飞机超售一刚，我人品太好了,可怜的孩子,beiguan,1
飞机超售一刚，我人品太好了,超级无语的天气,beiguan,0
0-0我想换个新发型求指导,你头像就很不错,zhongxing,1
0-0我想换个新发型求指导,皮头盖盖好,zhongxing,0
0-0，乏善可陈的半场结束了,破车没救了，踢的什么鬼啊,beiguan,1
0-0，乏善可陈的半场结束了,携手一生的爱情不会红,beiguan,0
0-1，落后了,又是熟悉的节奏,zhongxing,1
0-1，落后了,说给谁听的,zhongxing,0
0-2了，哎，乌塔卡之前错过机会,错过什么机会,zhongxing,1
0-2了，哎，乌塔卡之前错过机会,我也好想你,zhongxing,0
0-2，亨德森世界波,真的是好球,zhongxing,1
0-2，亨德森世界波,不带走一片云彩,zhongxing,0
0-6岁早教圈圈书，误导小朋友啊,哈，你在哪看到的哦,leguan,1
0-6岁早教圈圈书，误导小朋友啊,来吧来吧，热烈欢迎,leguan,0
0-今天想去图书馆，或者去自个习,心动不如行动,zhongxing,1
0-今天想去图书馆，或者去自个习,我想你们了,zhongxing,0
0-我可爱的小脸蛋，痒屎了痒屎了,乖点啦！吹一下，就不痒了,zhongxing,1
0-我可爱的小脸蛋，痒屎了痒屎了,最深藏不漏演戏演全套的那种,zhongxing,0
000987，广州友谊，未来涨势不错，看多未来一个月的走势,希望能有所突破,zhongxing,1
000987，广州友谊，未来涨势不错，看多未来一个月的走势,亲，你还好吗,zhongxing,0
007同志，被你广告做的口水都流下来了,还没睡？我累屎了,beiguan,1
007同志，被你广告做的口水都流下来了,怎么该呀恩,beiguan,0
007把上海拍得好漂亮啊,是的，就是后面拍得有点象十几年前电影的水平,zhongxing,1
007把上海拍得好漂亮啊,对很多东西都无所谓,zhongxing,0
007的主题曲skyfall好听爆，持续被洗脑,配那个场景才够味,zhongxing,1
007的主题曲skyfall好听爆，持续被洗脑,不戴眼镜，每天都是中秋,zhongxing,0
007里老太太相当有腔调,去看啦？我也想看,zhongxing,1
007里老太太相当有腔调,bigbang都是,zhongxing,0
007马上开始了，又一个人看电影儿,你这活不错,beiguan,1
007马上开始了，又一个人看电影儿,那就耍一下，过年好呀,beiguan,0
007：大破天幕杀机几时得闲去体,昨晚看来，不错,zhongxing,1
007：大破天幕杀机几时得闲去体,明明就是女的啊我,zhongxing,0
00后好非主流。qq名做五月天是他男朋友,哈瞬间笑了,leguan,1
00后好非主流。qq名做五月天是他男朋友,嗯是的努力,leguan,0
00点06分第三只宝宝出生啦,你真是个神圣而伟大的接生婆,leguan,1
00点06分第三只宝宝出生啦,没有期望就不会失望，多好啊,leguan,0
00看样子像打了个小固定，反反复复都是这只脚,反反复复总是旧伤，让人担心的大喵,beiguan,1
00看样子像打了个小固定，反反复复都是这只脚,忍耐下新年快到了,beiguan,0
00，19，没抢到红包的滋味——————,就不说了嘛,beiguan,1
00，19，没抢到红包的滋味——————,哎，还真是很久没试过失眠了,beiguan,0
00，有点日系了嘛，不像我,没有眼神光,zhongxing,1
00，有点日系了嘛，不像我,亲爱的，大晚上的发啥感慨呢,zhongxing,0
00：00发来的信息，实在是太感动了！嘿嘿！晚安,什么信息这么开心啊,zhongxing,1
00：00发来的信息，实在是太感动了！嘿嘿！晚安,鸡蛋炒蒜毫、小白菜炖豆腐，好香、好吃,zhongxing,0
00：00抢的货，两单居然已经发货了,我都没抢到,zhongxing,1
00：00抢的货，两单居然已经发货了,长期不运动的结果,zhongxing,0
00：00整，终于下班到家了,在爪子，这么久,zhongxing,1
00：00整，终于下班到家了,没图没真相,zhongxing,0
00：19思绪都只能隐藏在寂寞的时间之中,或者说是隐忍,zhongxing,1
00：19思绪都只能隐藏在寂寞的时间之中,你妈。脑子想什么，想干嘛,zhongxing,0
00：40还有么睡的朋友木有,辛苦泡杯感谢,leguan,1
00：40还有么睡的朋友木有,独自前行，勇敢上路,leguan,0
013路，你的头发味道很香,闻陌生人的头发感觉真有点变态,zhongxing,1
013路，你的头发味道很香,恩，跟着感觉走,zhongxing,0
01。24。习惯也是可以改变的,习惯可以培养，也可以改变,zhongxing,1
01。24。习惯也是可以改变的,我也没有，然而每次组队都有种人手一只鸟的错觉,zhongxing,0
01，03，抽奖送的鼠标垫和我屏幕一样大这是闹哪样,裁成几片送人吧,zhongxing,1
01，03，抽奖送的鼠标垫和我屏幕一样大这是闹哪样,不要做沉默的人,zhongxing,0
01：15还听着mp3，睡吧混乱的郑舒媛，明天又会很忙的,不信，自己睡不着别赖我,zhongxing,1
01：15还听着mp3，睡吧混乱的郑舒媛，明天又会很忙的,我失眠了一晚上,zhongxing,0
0206话题：帮人带话帮人带东西,不喜欢给别人带话和带东西！太被动了，容易遭嫌弃和鄙视,beiguan,1
0206话题：帮人带话帮人带东西,真的有点担心你,beiguan,0
0208做了太多梦了，每一个记得清的,是不是压力大了,zhongxing,1
0208做了太多梦了，每一个记得清的,我们就隔着一道墙,zhongxing,0
0222，和那天的天气一样好,好2的日子哦,leguan,1
0222，和那天的天气一样好,好好过日子开心哦,leguan,0
0223，还是咳嗽，没去健身。希望明天会好,你都咳了几天了,beiguan,1
0223，还是咳嗽，没去健身。希望明天会好,同想哭，熬这么久了,beiguan,0
0269，又是鸽哨叫我起床，大爱,鸽子叫这么晚啊,zhongxing,1
0269，又是鸽哨叫我起床，大爱,明天带把大伞，风吹来的时候抓紧伞，你就有机会被吹走了,zhongxing,0
02，20，喝茶后的作用就好比喝了杯超级非常浓缩的咖啡,吃粒安眠药，饮多几杯都不怕啦,beiguan,1
02，20，喝茶后的作用就好比喝了杯超级非常浓缩的咖啡,好好叫日记本不就完了吗，,beiguan,0
